Sentiment,UserPreference,Genre_small,Popularity,ReadLength,Recommendation
Neutral,CasualReader,Diary fiction,Very High,long,Yes
Neutral,CasualReader,Diary fiction,Very High,long,Yes
Neutral,CasualReader,Art,Very High,short,Yes
Positive,CasualReader,Photography,High,short,Yes
Neutral,CasualReader,"Body, Mind & Spirit",Very High,medium,Yes
Negative,CasualReader,Fiction,Very High,medium,Yes
Neutral,CasualReader,Religion,High,medium,No
Neutral,CasualReader,Biography & Autobiography,Very High,medium,Yes
Negative,CasualReader,"Persian Gulf War, 1991",Very High,long,Yes
Negative,CasualReader,"Persian Gulf War, 1991",Very High,long,Yes
Negative,CasualReader,Fiction,High,medium,Yes
Neutral,CasualReader,Fiction,Very High,long,Yes
Neutral,CasualReader,Comics & Graphic Novels,Very High,short,Yes
Neutral,CasualReader,Fiction,Very High,long,Yes
Neutral,CasualReader,Fiction,Very High,medium,Yes
Neutral,CasualReader,Fiction,Very High,medium,Yes
Neutral,CasualReader,Accidents,Very High,medium,Yes
Neutral,CasualReader,Accidents,Very High,medium,Yes
Negative,CasualReader,Galicia (Spain : Region),Very High,short,Yes
Neutral,CasualReader,Fiction,Very High,medium,Yes
Neutral,CasualReader,Fiction,High,medium,Yes
Negative,CasualReader,Fiction,Very High,medium,Yes
Neutral,CasualReader,Juvenile Nonfiction,High,short,Yes
Neutral,CasualReader,Biography & Autobiography,Very High,medium,Yes
Positive,AuthorLoyal,Boats and boating,High,medium,Yes
Positive,AuthorLoyal,Boats and boating,High,medium,Yes
Neutral,AuthorLoyal,Confianza en sí mismo,High,medium,Yes
Neutral,AuthorLoyal,Confianza en sí mismo,High,medium,Yes
Negative,AuthorLoyal,Religion,Very High,medium,Yes
Positive,AuthorLoyal,Short stories,Medium,medium,No
Neutral,AuthorLoyal,Fiction,Very High,short,Yes
Negative,AuthorLoyal,Juvenile Fiction,High,long,No
Positive,AuthorLoyal,Amish,Very High,long,Yes
Neutral,AuthorLoyal,Nature,Very High,short,Yes
Negative,CasualReader,"Authors, Cuban",Very High,medium,Yes
Negative,CasualReader,"Authors, Cuban",Very High,medium,Yes
Neutral,CasualReader,History,Very High,long,Yes
Neutral,CasualReader,Language Arts & Disciplines,Very High,medium,Yes
Neutral,CasualReader,Business & Economics,Very High,medium,Yes
Negative,CasualReader,Fiction,Very High,medium,Yes
Negative,CasualReader,Humor,Very High,short,Yes
Neutral,CasualReader,Dead,Very High,medium,Yes
Neutral,AuthorLoyal,Cancer,Very High,medium,Yes
Positive,AuthorLoyal,Cancer,Very High,medium,Yes
Positive,AuthorLoyal,Cancer,Very High,medium,Yes
Neutral,AuthorLoyal,Cancer,Very High,medium,Yes
Positive,AuthorLoyal,Science,Very High,medium,Yes
Positive,AuthorLoyal,Cookery,Very High,medium,Yes
Positive,AuthorLoyal,Americans,Very High,medium,Yes
Neutral,AuthorLoyal,Social Science,Very High,short,Yes
Neutral,AuthorLoyal,Fiction,Very High,medium,Yes
Neutral,AuthorLoyal,Fiction,Very High,medium,Yes
Negative,AuthorLoyal,Classical fiction,Very High,medium,Yes
Negative,AuthorLoyal,Classical fiction,Very High,medium,Yes
Negative,AuthorLoyal,Classical fiction,Very High,medium,Yes
Neutral,AuthorLoyal,Classical fiction,Very High,long,Yes
Neutral,AuthorLoyal,Classical fiction,Very High,long,Yes
Negative,AuthorLoyal,Classical fiction,Very High,medium,Yes
Neutral,AuthorLoyal,"Short stories, English",Very High,long,Yes
Neutral,AuthorLoyal,"Short stories, English",Very High,long,Yes
Positive,AuthorLoyal,Juvenile Fiction,High,short,No
Neutral,AuthorLoyal,Literary Criticism,Very High,long,Yes
Neutral,AuthorLoyal,Juvenile Fiction,Very High,medium,Yes
Neutral,AuthorLoyal,Literary Criticism,Very High,short,Yes
Negative,AuthorLoyal,Fiction,Very High,medium,Yes
Negative,AuthorLoyal,Fiction,Very High,long,Yes
Negative,AuthorLoyal,Belgians,Very High,medium,Yes
Neutral,AuthorLoyal,Belgians,Very High,medium,Yes
Neutral,AuthorLoyal,Sexual behavior surveys,High,long,Yes
Negative,AuthorLoyal,Belgians,Very High,medium,Yes
Neutral,AuthorLoyal,Sexual behavior surveys,High,long,Yes
Neutral,AuthorLoyal,Belgians,Very High,medium,Yes
Positive,AuthorLoyal,"Body, Mind & Spirit",High,short,No
Negative,AuthorLoyal,Fiction,Medium,medium,No
Negative,AuthorLoyal,Fiction,Very High,long,Yes
Neutral,AuthorLoyal,Medical,Very High,medium,Yes
Negative,AuthorLoyal,Fantasy fiction,Very High,medium,Yes
Neutral,AuthorLoyal,Religion,Medium,medium,No
Negative,AuthorLoyal,Medical,Very High,medium,Yes
Neutral,AuthorLoyal,Medical,Very High,medium,Yes
Negative,AuthorLoyal,Medical,Very High,long,Yes
Neutral,AuthorLoyal,Medical,Very High,long,Yes
Positive,AuthorLoyal,Medical,Very High,medium,Yes
Neutral,AuthorLoyal,Christmas stories,Medium,medium,Yes
Neutral,AuthorLoyal,Medical,Medium,long,Yes
Neutral,AuthorLoyal,Medical,Very High,medium,Yes
Neutral,AuthorLoyal,Medical,Medium,medium,Yes
Neutral,AuthorLoyal,Medical,High,long,Yes
Neutral,AuthorLoyal,Medical,Very High,long,Yes
Neutral,AuthorLoyal,Medical,Medium,long,No
Negative,AuthorLoyal,Medical,Very High,long,Yes
Neutral,AuthorLoyal,Medical,Very High,short,Yes
Neutral,AuthorLoyal,Philosophy,Very High,short,Yes
Neutral,AuthorLoyal,Fiction,Very High,long,Yes
Neutral,AuthorLoyal,Fiction,Very High,long,Yes
Neutral,AuthorLoyal,Philosophy,Very High,long,Yes
Neutral,AuthorLoyal,Fiction,Very High,medium,Yes
Neutral,AuthorLoyal,Biography & Autobiography,Very High,long,Yes
Neutral,CasualReader,Art,Very High,medium,Yes
Neutral,CasualReader,Art,High,long,Yes
Positive,CasualReader,Art,Very High,long,Yes
Neutral,CasualReader,Art,High,short,Yes
Neutral,CasualReader,Art,Very High,medium,Yes
Neutral,CasualReader,Art,Very High,long,Yes
Neutral,CasualReader,Art,High,medium,Yes
Neutral,CasualReader,Art,Very High,short,Yes
Neutral,CasualReader,Art,Very High,short,Yes
Positive,CasualReader,Art,Medium,short,Yes
Neutral,CasualReader,Art,High,short,Yes
Neutral,CasualReader,Art,Very High,long,Yes
Neutral,CasualReader,Art,Very High,medium,Yes
Positive,CasualReader,Art,High,short,Yes
Neutral,CasualReader,Fiction,Very High,medium,Yes
Neutral,CasualReader,Fiction,Very High,long,Yes
Neutral,CasualReader,Philosophy,High,medium,No
Neutral,CasualReader,Fiction,High,short,No
Negative,CasualReader,Fiction,Very High,long,Yes
Positive,CasualReader,Fiction,Very High,long,Yes
Neutral,AuthorLoyal,Gardening,Low,medium,No
Neutral,AuthorLoyal,Gardening,Medium,short,No
Neutral,AuthorLoyal,Gardening,Very High,medium,Yes
Neutral,AuthorLoyal,"Baggins, Frodo (Fictitious character)",Very High,long,Yes
Positive,AuthorLoyal,Gardening,High,short,Yes
Positive,AuthorLoyal,"Baggins, Frodo (Fictitious character)",Very High,long,Yes
Neutral,AuthorLoyal,Gardening,Very High,medium,Yes
Neutral,AuthorLoyal,Gardening,Medium,short,Yes
Neutral,AuthorLoyal,"Baggins, Frodo (Fictitious character)",High,long,Yes
Positive,AuthorLoyal,"Baggins, Frodo (Fictitious character)",Very High,long,Yes
Neutral,AuthorLoyal,Gardening,Low,medium,Yes
Neutral,AuthorLoyal,Gardening,Medium,short,Yes
Neutral,AuthorLoyal,Music,High,medium,Yes
Negative,AuthorLoyal,Biography & Autobiography,Very High,medium,Yes
Neutral,AuthorLoyal,Dreams,High,medium,No
Negative,AuthorLoyal,Juvenile Fiction,Very High,medium,Yes
Negative,AuthorLoyal,Fiction,Very High,medium,Yes
Neutral,AuthorLoyal,Fiction,Very High,medium,Yes
Neutral,CasualReader,Rock musicians,Very High,medium,Yes
Neutral,CasualReader,Rock musicians,Very High,medium,Yes
Positive,CasualReader,"Humorous stories, American",Very High,long,Yes
Positive,CasualReader,"Humorous stories, American",Very High,long,Yes
Negative,CasualReader,Fiction,Very High,medium,Yes
Positive,CasualReader,Fiction,Very High,long,Yes
Negative,CasualReader,Authors,High,long,No
Neutral,CasualReader,Business & Economics,Very High,medium,Yes
Negative,CasualReader,Fiction,Very High,long,Yes
Neutral,CasualReader,Fiction,Very High,medium,Yes
Negative,CasualReader,Animal sanctuaries,Very High,long,Yes
Negative,CasualReader,Animal sanctuaries,Very High,long,Yes
Negative,CasualReader,Fiction,Very High,medium,Yes
Neutral,CasualReader,Foreign Language Study,High,long,Yes
Positive,CasualReader,other,Very High,medium,Yes
Negative,CasualReader,Detective and mystery stories,Very High,medium,Yes
Neutral,CasualReader,Bracelets,Very High,medium,Yes
Neutral,CasualReader,Fiction,Very High,long,Yes
Negative,AuthorLoyal,African Americans,Very High,short,Yes
Negative,AuthorLoyal,"Africa, East",High,long,Yes
Negative,AuthorLoyal,African Americans,Very High,short,Yes
Neutral,AuthorLoyal,African Americans,Very High,long,Yes
Positive,AuthorLoyal,African Americans,Very High,medium,Yes
Neutral,AuthorLoyal,African Americans,Very High,long,Yes
Negative,AuthorLoyal,"Africa, East",High,long,Yes
Negative,AuthorLoyal,England,Very High,medium,Yes
Neutral,AuthorLoyal,Fiction,Very High,long,Yes
Neutral,AuthorLoyal,Business & Economics,Very High,long,Yes
Neutral,AuthorLoyal,Fiction,Very High,medium,Yes
Neutral,AuthorLoyal,Fiction,Very High,long,Yes
Positive,AuthorLoyal,Fiction,Very High,medium,Yes
Neutral,AuthorLoyal,Apartment houses,High,medium,Yes
Neutral,AuthorLoyal,Apartment houses,High,medium,Yes
Negative,AuthorLoyal,Fiction,Very High,long,Yes
Positive,AuthorLoyal,Juvenile Fiction,High,short,Yes
Neutral,AuthorLoyal,Biography & Autobiography,Very High,medium,Yes
Neutral,AuthorLoyal,Literary Criticism,Medium,short,No
Neutral,AuthorLoyal,Argentine literature,Very High,long,Yes
Neutral,AuthorLoyal,Juvenile Fiction,Very High,short,Yes
Neutral,AuthorLoyal,Crafts & Hobbies,High,short,Yes
Neutral,AuthorLoyal,Crafts & Hobbies,High,short,Yes
Neutral,AuthorLoyal,Crafts & Hobbies,High,short,Yes
Neutral,AuthorLoyal,Crafts & Hobbies,High,long,Yes
Neutral,AuthorLoyal,Crafts & Hobbies,High,short,Yes
Neutral,AuthorLoyal,Crafts & Hobbies,High,short,Yes
Neutral,AuthorLoyal,Crafts & Hobbies,High,long,Yes
Neutral,AuthorLoyal,Crafts & Hobbies,Low,short,Yes
Neutral,AuthorLoyal,Crafts & Hobbies,High,short,Yes
Negative,AuthorLoyal,Juvenile Fiction,Very High,short,Yes
Negative,AuthorLoyal,History,High,short,Yes
Negative,AuthorLoyal,Biography & Autobiography,Very High,medium,Yes
Neutral,AuthorLoyal,Juvenile Fiction,Very High,medium,Yes
Negative,AuthorLoyal,Fiction,Very High,medium,Yes
Negative,AuthorLoyal,Games,High,medium,Yes
Neutral,DiverseReader,Espionage,Very High,medium,Yes
Neutral,DiverseReader,Germany,Low,short,Yes
Neutral,DiverseReader,Espionage,Very High,medium,Yes
Neutral,DiverseReader,Germany,Low,short,No
Neutral,DiverseReader,Germany,Low,short,Yes
Neutral,DiverseReader,Fiction,Very High,medium,Yes
Neutral,DiverseReader,Fiction,Very High,medium,Yes
Negative,DiverseReader,Fiction,Very High,long,Yes
Positive,DiverseReader,Biography & Autobiography,Very High,long,Yes
Negative,DiverseReader,Fiction,Very High,long,Yes
Negative,DiverseReader,Detective and mystery stories,Very High,medium,Yes
Neutral,CasualReader,Literary Collections,Very High,medium,Yes
Negative,CasualReader,Literary Collections,Very High,short,Yes
Neutral,CasualReader,Literary Collections,Very High,medium,Yes
Negative,CasualReader,Literary Collections,High,long,Yes
Neutral,CasualReader,Literary Collections,Very High,long,Yes
Neutral,CasualReader,Literary Collections,Very High,medium,Yes
Negative,CasualReader,Literary Collections,Very High,long,Yes
Neutral,CasualReader,Literary Collections,Very High,medium,Yes
Neutral,CasualReader,Literary Collections,Very High,medium,Yes
Neutral,CasualReader,Literary Collections,Medium,medium,Yes
Neutral,CasualReader,Literary Collections,High,long,Yes
Positive,CasualReader,Literary Collections,Very High,long,Yes
Negative,CasualReader,Literary Collections,Very High,medium,Yes
Neutral,CasualReader,Literary Collections,Very High,medium,Yes
Negative,CasualReader,Fiction,Very High,long,Yes
Neutral,CasualReader,Fiction,Very High,long,Yes
Neutral,CasualReader,Fiction,Very High,medium,Yes
Neutral,CasualReader,Fiction,Very High,long,Yes
Positive,CasualReader,Fiction,Very High,long,Yes
Neutral,CasualReader,Art,High,medium,Yes
Negative,AuthorLoyal,Historical fiction,High,medium,Yes
Negative,AuthorLoyal,Historical fiction,High,medium,Yes
Neutral,AuthorLoyal,Meditation,Low,medium,Yes
Neutral,AuthorLoyal,Historical fiction,Very High,long,Yes
Neutral,AuthorLoyal,Meditation,Low,medium,No
Neutral,AuthorLoyal,Historical fiction,Very High,long,Yes
Negative,AuthorLoyal,Fiction,Medium,medium,No
Negative,AuthorLoyal,Fiction,Very High,medium,Yes
Neutral,AuthorLoyal,Fiction,Very High,medium,Yes
Negative,AuthorLoyal,History,Very High,long,Yes
Neutral,AuthorLoyal,Literary Criticism,Very High,long,Yes
Positive,AuthorLoyal,Adventure stories,Very High,short,Yes
Negative,CasualReader,Friendship,High,short,Yes
Negative,CasualReader,Friendship,High,short,Yes
Negative,CasualReader,Friendship,Very High,long,Yes
Negative,CasualReader,Friendship,Very High,long,Yes
Negative,CasualReader,Adolescence,Very High,medium,Yes
Neutral,CasualReader,Art,Very High,medium,Yes
Neutral,CasualReader,Fiction,Very High,medium,Yes
Neutral,CasualReader,Juvenile Fiction,Very High,medium,Yes
Positive,CasualReader,Fiction,High,medium,Yes
Neutral,CasualReader,Biography & Autobiography,Very High,long,Yes
Neutral,DiverseReader,"Cooking, French",High,medium,Yes
Neutral,DiverseReader,"Cooking, French",High,medium,Yes
Negative,DiverseReader,"Authors, American",High,medium,Yes
Neutral,DiverseReader,Juvenile Nonfiction,Very High,short,Yes
Negative,DiverseReader,Comics & Graphic Novels,Very High,short,Yes
Positive,DiverseReader,"Blake, Anita (Fictitious character)",Very High,medium,Yes
Negative,DiverseReader,Detective and mystery stories,Very High,medium,Yes
Neutral,DiverseReader,Literary Collections,Very High,long,Yes
Negative,CasualReader,Demonology,Very High,long,Yes
Negative,CasualReader,Demonology,Very High,long,Yes
Positive,CasualReader,Dangerously mentally ill,Very High,long,Yes
Positive,CasualReader,Dangerously mentally ill,Very High,long,Yes
Neutral,CasualReader,Juvenile Fiction,Very High,medium,Yes
Neutral,CasualReader,Comics & Graphic Novels,Very High,short,Yes
Negative,CasualReader,Fiction,Very High,short,Yes
Negative,CasualReader,Fiction,Very High,medium,Yes
Negative,CasualReader,Comics & Graphic Novels,Very High,medium,Yes
Positive,CasualReader,Fiction,Very High,short,Yes
Neutral,AuthorLoyal,Adirondack Mountains (N.Y.),Very High,short,Yes
Neutral,AuthorLoyal,Adirondack Mountains (N.Y.),Very High,short,Yes
Negative,AuthorLoyal,Comics & Graphic Novels,Very High,medium,Yes
Neutral,AuthorLoyal,Fiction,Very High,long,Yes
Neutral,AuthorLoyal,Biography & Autobiography,Very High,medium,Yes
Neutral,AuthorLoyal,First loves,Very High,short,Yes
Neutral,AuthorLoyal,Juvenile Fiction,Medium,short,Yes
