Sentiment,UserPreference,Genre_small,Popularity,ReadLength,Recommendation,__synthetic__
Neutral,CasualReader,Diary fiction,Very High,long,Yes,False
Neutral,CasualReader,Diary fiction,Very High,long,Yes,False
Neutral,CasualReader,Art,Very High,short,Yes,False
Positive,CasualReader,Photography,High,short,Yes,False
Neutral,CasualReader,"Body, Mind & Spirit",Very High,medium,Yes,False
Negative,CasualReader,Fiction,Very High,medium,Yes,False
Neutral,CasualReader,Religion,High,medium,No,False
Neutral,CasualReader,Biography & Autobiography,Very High,medium,Yes,False
Negative,CasualReader,"Persian Gulf War, 1991",Very High,long,Yes,False
Negative,CasualReader,"Persian Gulf War, 1991",Very High,long,Yes,False
Negative,CasualReader,Fiction,High,medium,Yes,False
Neutral,CasualReader,Fiction,Very High,long,Yes,False
Neutral,CasualReader,Comics & Graphic Novels,Very High,short,Yes,False
Neutral,CasualReader,Fiction,Very High,long,Yes,False
Neutral,CasualReader,Fiction,Very High,medium,Yes,False
Neutral,CasualReader,Fiction,Very High,medium,Yes,False
Neutral,CasualReader,Accidents,Very High,medium,Yes,False
Neutral,CasualReader,Accidents,Very High,medium,Yes,False
Negative,CasualReader,Galicia (Spain : Region),Very High,short,Yes,False
Neutral,CasualReader,Fiction,Very High,medium,Yes,False
Neutral,CasualReader,Fiction,High,medium,Yes,False
Negative,CasualReader,Fiction,Very High,medium,Yes,False
Neutral,CasualReader,Juvenile Nonfiction,High,short,Yes,False
Neutral,CasualReader,Biography & Autobiography,Very High,medium,Yes,False
Positive,AuthorLoyal,Boats and boating,High,medium,Yes,False
Positive,AuthorLoyal,Boats and boating,High,medium,Yes,False
Neutral,AuthorLoyal,Confianza en sí mismo,High,medium,Yes,False
Neutral,AuthorLoyal,Confianza en sí mismo,High,medium,Yes,False
Negative,AuthorLoyal,Religion,Very High,medium,Yes,False
Positive,AuthorLoyal,Short stories,Medium,medium,No,False
Neutral,AuthorLoyal,Fiction,Very High,short,Yes,False
Negative,AuthorLoyal,Juvenile Fiction,High,long,No,False
Positive,AuthorLoyal,Amish,Very High,long,Yes,False
Neutral,AuthorLoyal,Nature,Very High,short,Yes,False
Negative,CasualReader,"Authors, Cuban",Very High,medium,Yes,False
Negative,CasualReader,"Authors, Cuban",Very High,medium,Yes,False
Neutral,CasualReader,History,Very High,long,Yes,False
Neutral,CasualReader,Language Arts & Disciplines,Very High,medium,Yes,False
Neutral,CasualReader,Business & Economics,Very High,medium,Yes,False
Negative,CasualReader,Fiction,Very High,medium,Yes,False
Negative,CasualReader,Humor,Very High,short,Yes,False
Neutral,CasualReader,Dead,Very High,medium,Yes,False
Neutral,AuthorLoyal,Cancer,Very High,medium,Yes,False
Positive,AuthorLoyal,Cancer,Very High,medium,Yes,False
Positive,AuthorLoyal,Cancer,Very High,medium,Yes,False
Neutral,AuthorLoyal,Cancer,Very High,medium,Yes,False
Positive,AuthorLoyal,Science,Very High,medium,Yes,False
Positive,AuthorLoyal,Cookery,Very High,medium,Yes,False
Positive,AuthorLoyal,Americans,Very High,medium,Yes,False
Neutral,AuthorLoyal,Social Science,Very High,short,Yes,False
Neutral,AuthorLoyal,Fiction,Very High,medium,Yes,False
Neutral,AuthorLoyal,Fiction,Very High,medium,Yes,False
Negative,AuthorLoyal,Classical fiction,Very High,medium,Yes,False
Negative,AuthorLoyal,Classical fiction,Very High,medium,Yes,False
Negative,AuthorLoyal,Classical fiction,Very High,medium,Yes,False
Neutral,AuthorLoyal,Classical fiction,Very High,long,Yes,False
Neutral,AuthorLoyal,Classical fiction,Very High,long,Yes,False
Negative,AuthorLoyal,Classical fiction,Very High,medium,Yes,False
Neutral,AuthorLoyal,"Short stories, English",Very High,long,Yes,False
Neutral,AuthorLoyal,"Short stories, English",Very High,long,Yes,False
Positive,AuthorLoyal,Juvenile Fiction,High,short,No,False
Neutral,AuthorLoyal,Literary Criticism,Very High,long,Yes,False
Neutral,AuthorLoyal,Juvenile Fiction,Very High,medium,Yes,False
Neutral,AuthorLoyal,Literary Criticism,Very High,short,Yes,False
Negative,AuthorLoyal,Fiction,Very High,medium,Yes,False
Negative,AuthorLoyal,Fiction,Very High,long,Yes,False
Negative,AuthorLoyal,Belgians,Very High,medium,Yes,False
Neutral,AuthorLoyal,Belgians,Very High,medium,Yes,False
Neutral,AuthorLoyal,Sexual behavior surveys,High,long,Yes,False
Negative,AuthorLoyal,Belgians,Very High,medium,Yes,False
Neutral,AuthorLoyal,Sexual behavior surveys,High,long,Yes,False
Neutral,AuthorLoyal,Belgians,Very High,medium,Yes,False
Positive,AuthorLoyal,"Body, Mind & Spirit",High,short,No,False
Negative,AuthorLoyal,Fiction,Medium,medium,No,False
Negative,AuthorLoyal,Fiction,Very High,long,Yes,False
Neutral,AuthorLoyal,Medical,Very High,medium,Yes,False
Negative,AuthorLoyal,Fantasy fiction,Very High,medium,Yes,False
Neutral,AuthorLoyal,Religion,Medium,medium,No,False
Negative,AuthorLoyal,Medical,Very High,medium,Yes,False
Neutral,AuthorLoyal,Medical,Very High,medium,Yes,False
Negative,AuthorLoyal,Medical,Very High,long,Yes,False
Neutral,AuthorLoyal,Medical,Very High,long,Yes,False
Positive,AuthorLoyal,Medical,Very High,medium,Yes,False
Neutral,AuthorLoyal,Christmas stories,Medium,medium,Yes,False
Neutral,AuthorLoyal,Medical,Medium,long,Yes,False
Neutral,AuthorLoyal,Medical,Very High,medium,Yes,False
Neutral,AuthorLoyal,Medical,Medium,medium,Yes,False
Neutral,AuthorLoyal,Medical,High,long,Yes,False
Neutral,AuthorLoyal,Medical,Very High,long,Yes,False
Neutral,AuthorLoyal,Medical,Medium,long,No,False
Negative,AuthorLoyal,Medical,Very High,long,Yes,False
Neutral,AuthorLoyal,Medical,Very High,short,Yes,False
Neutral,AuthorLoyal,Philosophy,Very High,short,Yes,False
Neutral,AuthorLoyal,Fiction,Very High,long,Yes,False
Neutral,AuthorLoyal,Fiction,Very High,long,Yes,False
Neutral,AuthorLoyal,Philosophy,Very High,long,Yes,False
Neutral,AuthorLoyal,Fiction,Very High,medium,Yes,False
Neutral,AuthorLoyal,Biography & Autobiography,Very High,long,Yes,False
Neutral,CasualReader,Art,Very High,medium,Yes,False
Neutral,CasualReader,Art,High,long,Yes,False
Positive,CasualReader,Art,Very High,long,Yes,False
Neutral,CasualReader,Art,High,short,Yes,False
Neutral,CasualReader,Art,Very High,medium,Yes,False
Neutral,CasualReader,Art,Very High,long,Yes,False
Neutral,CasualReader,Art,High,medium,Yes,False
Neutral,CasualReader,Art,Very High,short,Yes,False
Neutral,CasualReader,Art,Very High,short,Yes,False
Positive,CasualReader,Art,Medium,short,Yes,False
Neutral,CasualReader,Art,High,short,Yes,False
Neutral,CasualReader,Art,Very High,long,Yes,False
Neutral,CasualReader,Art,Very High,medium,Yes,False
Positive,CasualReader,Art,High,short,Yes,False
Neutral,CasualReader,Fiction,Very High,medium,Yes,False
Neutral,CasualReader,Fiction,Very High,long,Yes,False
Neutral,CasualReader,Philosophy,High,medium,No,False
Neutral,CasualReader,Fiction,High,short,No,False
Negative,CasualReader,Fiction,Very High,long,Yes,False
Positive,CasualReader,Fiction,Very High,long,Yes,False
Neutral,AuthorLoyal,Gardening,Low,medium,No,False
Neutral,AuthorLoyal,Gardening,Medium,short,No,False
Neutral,AuthorLoyal,Gardening,Very High,medium,Yes,False
Neutral,AuthorLoyal,"Baggins, Frodo (Fictitious character)",Very High,long,Yes,False
Positive,AuthorLoyal,Gardening,High,short,Yes,False
Positive,AuthorLoyal,"Baggins, Frodo (Fictitious character)",Very High,long,Yes,False
Neutral,AuthorLoyal,Gardening,Very High,medium,Yes,False
Neutral,AuthorLoyal,Gardening,Medium,short,Yes,False
Neutral,AuthorLoyal,"Baggins, Frodo (Fictitious character)",High,long,Yes,False
Positive,AuthorLoyal,"Baggins, Frodo (Fictitious character)",Very High,long,Yes,False
Neutral,AuthorLoyal,Gardening,Low,medium,Yes,False
Neutral,AuthorLoyal,Gardening,Medium,short,Yes,False
Neutral,AuthorLoyal,Music,High,medium,Yes,False
Negative,AuthorLoyal,Biography & Autobiography,Very High,medium,Yes,False
Neutral,AuthorLoyal,Dreams,High,medium,No,False
Negative,AuthorLoyal,Juvenile Fiction,Very High,medium,Yes,False
Negative,AuthorLoyal,Fiction,Very High,medium,Yes,False
Neutral,AuthorLoyal,Fiction,Very High,medium,Yes,False
Neutral,CasualReader,Rock musicians,Very High,medium,Yes,False
Neutral,CasualReader,Rock musicians,Very High,medium,Yes,False
Positive,CasualReader,"Humorous stories, American",Very High,long,Yes,False
Positive,CasualReader,"Humorous stories, American",Very High,long,Yes,False
Negative,CasualReader,Fiction,Very High,medium,Yes,False
Positive,CasualReader,Fiction,Very High,long,Yes,False
Negative,CasualReader,Authors,High,long,No,False
Neutral,CasualReader,Business & Economics,Very High,medium,Yes,False
Negative,CasualReader,Fiction,Very High,long,Yes,False
Neutral,CasualReader,Fiction,Very High,medium,Yes,False
Negative,CasualReader,Animal sanctuaries,Very High,long,Yes,False
Negative,CasualReader,Animal sanctuaries,Very High,long,Yes,False
Negative,CasualReader,Fiction,Very High,medium,Yes,False
Neutral,CasualReader,Foreign Language Study,High,long,Yes,False
Positive,CasualReader,other,Very High,medium,Yes,False
Negative,CasualReader,Detective and mystery stories,Very High,medium,Yes,False
Neutral,CasualReader,Bracelets,Very High,medium,Yes,False
Neutral,CasualReader,Fiction,Very High,long,Yes,False
Negative,AuthorLoyal,African Americans,Very High,short,Yes,False
Negative,AuthorLoyal,"Africa, East",High,long,Yes,False
Negative,AuthorLoyal,African Americans,Very High,short,Yes,False
Neutral,AuthorLoyal,African Americans,Very High,long,Yes,False
Positive,AuthorLoyal,African Americans,Very High,medium,Yes,False
Neutral,AuthorLoyal,African Americans,Very High,long,Yes,False
Negative,AuthorLoyal,"Africa, East",High,long,Yes,False
Negative,AuthorLoyal,England,Very High,medium,Yes,False
Neutral,AuthorLoyal,Fiction,Very High,long,Yes,False
Neutral,AuthorLoyal,Business & Economics,Very High,long,Yes,False
Neutral,AuthorLoyal,Fiction,Very High,medium,Yes,False
Neutral,AuthorLoyal,Fiction,Very High,long,Yes,False
Positive,AuthorLoyal,Fiction,Very High,medium,Yes,False
Neutral,AuthorLoyal,Apartment houses,High,medium,Yes,False
Neutral,AuthorLoyal,Apartment houses,High,medium,Yes,False
Negative,AuthorLoyal,Fiction,Very High,long,Yes,False
Positive,AuthorLoyal,Juvenile Fiction,High,short,Yes,False
Neutral,AuthorLoyal,Biography & Autobiography,Very High,medium,Yes,False
Neutral,AuthorLoyal,Literary Criticism,Medium,short,No,False
Neutral,AuthorLoyal,Argentine literature,Very High,long,Yes,False
Neutral,AuthorLoyal,Juvenile Fiction,Very High,short,Yes,False
Neutral,AuthorLoyal,Crafts & Hobbies,High,short,Yes,False
Neutral,AuthorLoyal,Crafts & Hobbies,High,short,Yes,False
Neutral,AuthorLoyal,Crafts & Hobbies,High,short,Yes,False
Neutral,AuthorLoyal,Crafts & Hobbies,High,long,Yes,False
Neutral,AuthorLoyal,Crafts & Hobbies,High,short,Yes,False
Neutral,AuthorLoyal,Crafts & Hobbies,High,short,Yes,False
Neutral,AuthorLoyal,Crafts & Hobbies,High,long,Yes,False
Neutral,AuthorLoyal,Crafts & Hobbies,Low,short,Yes,False
Neutral,AuthorLoyal,Crafts & Hobbies,High,short,Yes,False
Negative,AuthorLoyal,Juvenile Fiction,Very High,short,Yes,False
Negative,AuthorLoyal,History,High,short,Yes,False
Negative,AuthorLoyal,Biography & Autobiography,Very High,medium,Yes,False
Neutral,AuthorLoyal,Juvenile Fiction,Very High,medium,Yes,False
Negative,AuthorLoyal,Fiction,Very High,medium,Yes,False
Negative,AuthorLoyal,Games,High,medium,Yes,False
Neutral,DiverseReader,Espionage,Very High,medium,Yes,False
Neutral,DiverseReader,Germany,Low,short,Yes,False
Neutral,DiverseReader,Espionage,Very High,medium,Yes,False
Neutral,DiverseReader,Germany,Low,short,No,False
Neutral,DiverseReader,Germany,Low,short,Yes,False
Neutral,DiverseReader,Fiction,Very High,medium,Yes,False
Neutral,DiverseReader,Fiction,Very High,medium,Yes,False
Negative,DiverseReader,Fiction,Very High,long,Yes,False
Positive,DiverseReader,Biography & Autobiography,Very High,long,Yes,False
Negative,DiverseReader,Fiction,Very High,long,Yes,False
Negative,DiverseReader,Detective and mystery stories,Very High,medium,Yes,False
Neutral,CasualReader,Literary Collections,Very High,medium,Yes,False
Negative,CasualReader,Literary Collections,Very High,short,Yes,False
Neutral,CasualReader,Literary Collections,Very High,medium,Yes,False
Negative,CasualReader,Literary Collections,High,long,Yes,False
Neutral,CasualReader,Literary Collections,Very High,long,Yes,False
Neutral,CasualReader,Literary Collections,Very High,medium,Yes,False
Negative,CasualReader,Literary Collections,Very High,long,Yes,False
Neutral,CasualReader,Literary Collections,Very High,medium,Yes,False
Neutral,CasualReader,Literary Collections,Very High,medium,Yes,False
Neutral,CasualReader,Literary Collections,Medium,medium,Yes,False
Neutral,CasualReader,Literary Collections,High,long,Yes,False
Positive,CasualReader,Literary Collections,Very High,long,Yes,False
Negative,CasualReader,Literary Collections,Very High,medium,Yes,False
Neutral,CasualReader,Literary Collections,Very High,medium,Yes,False
Negative,CasualReader,Fiction,Very High,long,Yes,False
Neutral,CasualReader,Fiction,Very High,long,Yes,False
Neutral,CasualReader,Fiction,Very High,medium,Yes,False
Neutral,CasualReader,Fiction,Very High,long,Yes,False
Positive,CasualReader,Fiction,Very High,long,Yes,False
Neutral,CasualReader,Art,High,medium,Yes,False
Negative,AuthorLoyal,Historical fiction,High,medium,Yes,False
Negative,AuthorLoyal,Historical fiction,High,medium,Yes,False
Neutral,AuthorLoyal,Meditation,Low,medium,Yes,False
Neutral,AuthorLoyal,Historical fiction,Very High,long,Yes,False
Neutral,AuthorLoyal,Meditation,Low,medium,No,False
Neutral,AuthorLoyal,Historical fiction,Very High,long,Yes,False
Negative,AuthorLoyal,Fiction,Medium,medium,No,False
Negative,AuthorLoyal,Fiction,Very High,medium,Yes,False
Neutral,AuthorLoyal,Fiction,Very High,medium,Yes,False
Negative,AuthorLoyal,History,Very High,long,Yes,False
Neutral,AuthorLoyal,Literary Criticism,Very High,long,Yes,False
Positive,AuthorLoyal,Adventure stories,Very High,short,Yes,False
Negative,CasualReader,Friendship,High,short,Yes,False
Negative,CasualReader,Friendship,High,short,Yes,False
Negative,CasualReader,Friendship,Very High,long,Yes,False
Negative,CasualReader,Friendship,Very High,long,Yes,False
Negative,CasualReader,Adolescence,Very High,medium,Yes,False
Neutral,CasualReader,Art,Very High,medium,Yes,False
Neutral,CasualReader,Fiction,Very High,medium,Yes,False
Neutral,CasualReader,Juvenile Fiction,Very High,medium,Yes,False
Positive,CasualReader,Fiction,High,medium,Yes,False
Neutral,CasualReader,Biography & Autobiography,Very High,long,Yes,False
Neutral,DiverseReader,"Cooking, French",High,medium,Yes,False
Neutral,DiverseReader,"Cooking, French",High,medium,Yes,False
Negative,DiverseReader,"Authors, American",High,medium,Yes,False
Neutral,DiverseReader,Juvenile Nonfiction,Very High,short,Yes,False
Negative,DiverseReader,Comics & Graphic Novels,Very High,short,Yes,False
Positive,DiverseReader,"Blake, Anita (Fictitious character)",Very High,medium,Yes,False
Negative,DiverseReader,Detective and mystery stories,Very High,medium,Yes,False
Neutral,DiverseReader,Literary Collections,Very High,long,Yes,False
Negative,CasualReader,Demonology,Very High,long,Yes,False
Negative,CasualReader,Demonology,Very High,long,Yes,False
Positive,CasualReader,Dangerously mentally ill,Very High,long,Yes,False
Positive,CasualReader,Dangerously mentally ill,Very High,long,Yes,False
Neutral,CasualReader,Juvenile Fiction,Very High,medium,Yes,False
Neutral,CasualReader,Comics & Graphic Novels,Very High,short,Yes,False
Negative,CasualReader,Fiction,Very High,short,Yes,False
Negative,CasualReader,Fiction,Very High,medium,Yes,False
Negative,CasualReader,Comics & Graphic Novels,Very High,medium,Yes,False
Positive,CasualReader,Fiction,Very High,short,Yes,False
Neutral,AuthorLoyal,Adirondack Mountains (N.Y.),Very High,short,Yes,False
Neutral,AuthorLoyal,Adirondack Mountains (N.Y.),Very High,short,Yes,False
Negative,AuthorLoyal,Comics & Graphic Novels,Very High,medium,Yes,False
Neutral,AuthorLoyal,Fiction,Very High,long,Yes,False
Neutral,AuthorLoyal,Biography & Autobiography,Very High,medium,Yes,False
Neutral,AuthorLoyal,First loves,Very High,short,Yes,False
Neutral,AuthorLoyal,Juvenile Fiction,Medium,short,Yes,False
Negative,AuthorLoyal,Alcestis (Greek mythology),High,long,Yes,False
Neutral,CasualReader,Canadian wit and humor,Very High,medium,Yes,False
Neutral,CasualReader,Canadian wit and humor,Very High,medium,Yes,False
Neutral,CasualReader,Adult education,Very High,short,Yes,False
Neutral,CasualReader,Adult education,Very High,short,Yes,False
Negative,CasualReader,Comics & Graphic Novels,Very High,short,Yes,False
Neutral,CasualReader,Fiction,Very High,medium,Yes,False
Neutral,CasualReader,Political Science,Very High,long,Yes,False
Neutral,CasualReader,Fiction,Very High,medium,Yes,False
Neutral,CasualReader,Art,High,short,No,False
Neutral,CasualReader,"Animals, Mythical",Very High,medium,Yes,False
Neutral,AuthorLoyal,Botanique,Low,short,No,False
Neutral,AuthorLoyal,Botanique,Low,short,Yes,False
Neutral,AuthorLoyal,Botanique,Low,short,Yes,False
Positive,AuthorLoyal,Poetry,Very High,short,Yes,False
Neutral,AuthorLoyal,History,Very High,long,Yes,False
Neutral,AuthorLoyal,Music,Medium,short,No,False
Negative,AuthorLoyal,Literary Criticism,Very High,medium,Yes,False
Negative,AuthorLoyal,Fiction,Very High,long,Yes,False
Neutral,AuthorLoyal,Literary Criticism,High,short,No,False
Neutral,AuthorLoyal,Folklore,Medium,short,No,False
Neutral,AuthorLoyal,Folklore,Medium,short,Yes,False
Neutral,AuthorLoyal,Consumer behavior,Medium,medium,Yes,False
Neutral,AuthorLoyal,Folklore,Medium,short,Yes,False
Neutral,AuthorLoyal,Consumer behavior,Medium,medium,No,False
Neutral,AuthorLoyal,Consumer behavior,Medium,medium,Yes,False
Neutral,AuthorLoyal,Biography & Autobiography,Very High,long,Yes,False
Neutral,AuthorLoyal,Medical,Very High,medium,Yes,False
Negative,AuthorLoyal,Fiction,Very High,medium,Yes,False
Neutral,AuthorLoyal,Cooking,Very High,medium,Yes,False
Negative,AuthorLoyal,Fiction,Very High,medium,Yes,False
Negative,AuthorLoyal,Fiction,Very High,medium,Yes,False
Positive,DiverseReader,Civil law,Very High,short,Yes,False
Positive,DiverseReader,Civil law,Very High,short,Yes,False
Negative,DiverseReader,Fiction,Very High,long,Yes,False
Neutral,DiverseReader,Fiction,Very High,medium,Yes,False
Neutral,DiverseReader,Juvenile Fiction,Very High,medium,Yes,False
Neutral,DiverseReader,Fiction,Very High,long,Yes,False
Positive,DiverseReader,Cooking,Very High,medium,Yes,False
Negative,DiverseReader,Juvenile Fiction,Very High,short,Yes,False
Positive,DiverseReader,Language and languages,Very High,medium,Yes,False
Negative,DiverseReader,"Science fiction, American",Very High,medium,Yes,False
Negative,DiverseReader,"Science fiction, American",Very High,medium,Yes,False
Positive,DiverseReader,"Science fiction, American",High,long,Yes,False
Positive,DiverseReader,"Science fiction, American",High,long,Yes,False
Negative,DiverseReader,Biography & Autobiography,Very High,medium,Yes,False
Neutral,DiverseReader,Biography & Autobiography,Very High,medium,Yes,False
Positive,DiverseReader,Fiction,Very High,medium,Yes,False
Negative,DiverseReader,Fiction,Very High,long,Yes,False
Neutral,DiverseReader,History,Very High,long,Yes,False
Negative,DiverseReader,Fiction,Very High,long,Yes,False
Neutral,CasualReader,College teachers,Very High,short,Yes,False
Neutral,CasualReader,College teachers,Very High,short,Yes,False
Neutral,CasualReader,College teachers,Very High,short,Yes,False
Neutral,CasualReader,Sex customs,Very High,short,Yes,False
Neutral,CasualReader,Sex customs,Very High,short,Yes,False
Negative,CasualReader,Misogyny,Very High,medium,Yes,False
Neutral,CasualReader,"American wit and humor, Pictorial",Very High,short,Yes,False
Negative,CasualReader,Elves,Very High,long,Yes,False
Neutral,CasualReader,Juvenile Fiction,Very High,short,Yes,False
Negative,CasualReader,Fiction,Very High,medium,Yes,False
Negative,CasualReader,Fiction,Very High,long,Yes,False
Neutral,AuthorLoyal,Health & Fitness,High,short,Yes,False
Positive,AuthorLoyal,England,Very High,long,Yes,False
Negative,AuthorLoyal,England,Very High,medium,Yes,False
Positive,AuthorLoyal,Health & Fitness,Very High,medium,Yes,False
Neutral,AuthorLoyal,Health & Fitness,Medium,medium,No,False
Negative,AuthorLoyal,Health & Fitness,Very High,medium,Yes,False
Neutral,AuthorLoyal,Health & Fitness,Very High,medium,Yes,False
Neutral,AuthorLoyal,Health & Fitness,Very High,medium,Yes,False
Neutral,AuthorLoyal,Health & Fitness,Low,short,Yes,False
Neutral,AuthorLoyal,Health & Fitness,Very High,medium,Yes,False
Negative,AuthorLoyal,Health & Fitness,Very High,long,Yes,False
Neutral,AuthorLoyal,Health & Fitness,High,medium,Yes,False
Neutral,AuthorLoyal,Health & Fitness,High,medium,Yes,False
Neutral,AuthorLoyal,England,Very High,medium,Yes,False
Positive,AuthorLoyal,Science,Very High,short,Yes,False
Neutral,AuthorLoyal,Juvenile Fiction,Very High,short,Yes,False
Neutral,AuthorLoyal,Performing Arts,Very High,long,Yes,False
Neutral,AuthorLoyal,Cooking,Medium,short,No,False
Negative,AuthorLoyal,Fiction,Very High,long,Yes,False
Neutral,AuthorLoyal,Literary Criticism,High,medium,Yes,False
Positive,DiverseReader,"Novelists, English",Low,short,Yes,False
Neutral,DiverseReader,Estados Unidos - Relaciones exteriores - 1945-1989,Very High,long,Yes,False
Neutral,DiverseReader,Estados Unidos - Relaciones exteriores - 1945-1989,Very High,long,Yes,False
Positive,DiverseReader,"Novelists, English",Low,short,No,False
Positive,DiverseReader,"Novelists, English",Low,short,Yes,False
Neutral,DiverseReader,Biography & Autobiography,Medium,long,No,False
Neutral,DiverseReader,Fiction,Very High,medium,Yes,False
Negative,DiverseReader,Comics & Graphic Novels,Very High,medium,Yes,False
Negative,DiverseReader,Education,Very High,medium,Yes,False
Negative,DiverseReader,History,Very High,long,Yes,False
Positive,DiverseReader,History,High,medium,Yes,False
Neutral,GenreFan,Igbo (African people),High,short,Yes,False
Neutral,GenreFan,Igbo (African people),High,short,Yes,False
Positive,GenreFan,Fiction,Very High,medium,Yes,False
Neutral,GenreFan,Design,Low,medium,Yes,False
Neutral,GenreFan,Juvenile Fiction,Very High,short,Yes,False
Neutral,GenreFan,Fiction,Very High,medium,Yes,False
Positive,GenreFan,Fiction,Very High,long,Yes,False
Neutral,GenreFan,Law,High,long,No,False
Negative,CasualReader,Aging,Very High,short,Yes,False
Negative,CasualReader,Aging,Very High,short,Yes,False
Neutral,CasualReader,Political Science,Low,short,Yes,False
Neutral,CasualReader,Fiction,Very High,medium,Yes,False
Neutral,CasualReader,Family & Relationships,Very High,medium,Yes,False
Negative,CasualReader,Juvenile Fiction,Very High,medium,Yes,False
Negative,CasualReader,other,Very High,long,Yes,False
Neutral,CasualReader,Fiction,Very High,medium,Yes,False
Positive,DiverseReader,"Novelists, English",Low,short,Yes,False
Positive,DiverseReader,"Novelists, English",Low,short,No,False
Positive,DiverseReader,"Novelists, English",Low,short,Yes,False
Neutral,DiverseReader,Science,High,medium,No,False
Positive,DiverseReader,Computers,Very High,short,Yes,False
Negative,DiverseReader,Young Adult Fiction,Very High,medium,Yes,False
Negative,DiverseReader,Fiction,Very High,medium,Yes,False
Positive,DiverseReader,other,Very High,short,Yes,False
