Sentiment,UserPreference,Genre_small,Popularity,ReadLength,Recommendation,__synthetic__
Positive,DiverseReader,History,Very High,medium,Yes,False
Positive,AuthorLoyal,Animals,Very High,medium,Yes,False
Positive,AuthorLoyal,Animals,Very High,medium,Yes,False
Neutral,AuthorLoyal,Computer science,High,long,Yes,False
Neutral,AuthorLoyal,Biography & Autobiography,Low,medium,Yes,False
Neutral,AuthorLoyal,Fiction,Very High,medium,Yes,False
Neutral,AuthorLoyal,Juvenile Fiction,Very High,short,Yes,False
Positive,AuthorLoyal,Fiction,Very High,short,Yes,False
Negative,AuthorLoyal,Autism,Very High,short,Yes,False
Neutral,GenreFan,"Theology, Doctrinal",Very High,long,Yes,False
Neutral,GenreFan,"Theology, Doctrinal",Very High,long,Yes,False
Neutral,GenreFan,Literary Criticism,High,short,Yes,False
Positive,GenreFan,Fiction,Very High,long,Yes,False
Neutral,GenreFan,Fiction,Very High,long,Yes,False
Neutral,GenreFan,Social Science,Very High,short,Yes,False
Positive,GenreFan,Comics & Graphic Novels,High,medium,No,False
Negative,GenreFan,Fiction,Very High,medium,Yes,False
Neutral,AuthorLoyal,Bibles,Very High,long,Yes,False
Negative,AuthorLoyal,Children of the rich,Very High,long,Yes,False
Neutral,AuthorLoyal,Bibles,Very High,long,Yes,False
Positive,AuthorLoyal,Children of the rich,High,medium,Yes,False
Negative,AuthorLoyal,Children of the rich,Very High,long,Yes,False
Neutral,AuthorLoyal,Bibles,High,short,Yes,False
Neutral,AuthorLoyal,Bibles,High,short,Yes,False
Neutral,AuthorLoyal,Bibles,Very High,long,Yes,False
Negative,AuthorLoyal,Fiction,Very High,long,Yes,False
Neutral,AuthorLoyal,Fiction,Very High,medium,Yes,False
Neutral,AuthorLoyal,History,Very High,medium,Yes,False
Positive,AuthorLoyal,Political Science,Very High,medium,Yes,False
Positive,AuthorLoyal,Magic,Medium,medium,No,False
Negative,AuthorLoyal,Fiction,Very High,medium,Yes,False
Negative,CasualReader,Organized Crime,Medium,long,Yes,False
Negative,CasualReader,Organized Crime,Medium,long,No,False
Negative,CasualReader,Organized Crime,Medium,long,Yes,False
Neutral,CasualReader,BIOGRAPHY & AUTOBIOGRAPHY,Low,long,No,False
Negative,CasualReader,Fiction,Very High,long,Yes,False
Neutral,CasualReader,Fiction,Very High,medium,Yes,False
Negative,CasualReader,Drama,Very High,short,Yes,False
Negative,CasualReader,Fiction,Very High,short,Yes,False
Negative,CasualReader,Fiction,Very High,medium,Yes,False
Negative,CasualReader,Obesity,Medium,short,Yes,False
Negative,CasualReader,Obesity,Medium,short,No,False
Negative,CasualReader,Obesity,Medium,short,Yes,False
Neutral,CasualReader,Fiction,Very High,long,Yes,False
Neutral,CasualReader,Computers,High,medium,No,False
Negative,CasualReader,Fiction,Very High,long,Yes,False
Positive,CasualReader,Juvenile Fiction,Very High,short,Yes,False
Negative,CasualReader,Fiction,Very High,long,Yes,False
Positive,CasualReader,Biography & Autobiography,Very High,medium,Yes,False
Positive,DiverseReader,Civil law,Very High,short,Yes,False
Positive,DiverseReader,Civil law,Very High,short,Yes,False
Negative,DiverseReader,Fiction,Very High,medium,Yes,False
Positive,DiverseReader,Juvenile Fiction,Very High,short,Yes,False
Neutral,DiverseReader,Science,Very High,medium,Yes,False
Neutral,DiverseReader,Adventure stories,Very High,short,Yes,False
Negative,DiverseReader,Detective and mystery stories,Very High,medium,Yes,False
Neutral,DiverseReader,Fiction,Very High,medium,Yes,False
Neutral,GenreFan,Consumer behavior,Medium,medium,Yes,False
Neutral,GenreFan,Consumer behavior,Medium,medium,No,False
Neutral,GenreFan,Consumer behavior,Medium,medium,Yes,False
Neutral,GenreFan,Poetry,Very High,long,Yes,False
Positive,GenreFan,Comics & Graphic Novels,Very High,short,Yes,False
Negative,GenreFan,"Detective and mystery stories, American",Very High,long,Yes,False
Positive,GenreFan,Juvenile Nonfiction,High,short,No,False
Neutral,GenreFan,Self-Help,Very High,short,Yes,False
Neutral,GenreFan,Humor,Very High,medium,Yes,False
Negative,DiverseReader,"Novelists, American",Very High,medium,Yes,False
Negative,DiverseReader,"Novelists, American",Very High,medium,Yes,False
Neutral,DiverseReader,History,Very High,medium,Yes,False
Positive,DiverseReader,Air pilots,Very High,medium,Yes,False
Negative,DiverseReader,Fiction,Very High,medium,Yes,False
Neutral,DiverseReader,History,Very High,medium,Yes,False
Neutral,DiverseReader,Social Science,Very High,medium,Yes,False
Neutral,DiverseReader,Self-Help,Very High,long,Yes,False
Negative,DiverseReader,China,Very High,short,Yes,False
Neutral,DiverseReader,Christianity,Very High,long,Yes,False
Positive,DiverseReader,Christianity,Very High,short,Yes,False
Negative,DiverseReader,China,Very High,short,Yes,False
Neutral,DiverseReader,Christianity,Very High,long,Yes,False
Positive,DiverseReader,Christianity,Very High,short,Yes,False
Neutral,DiverseReader,Fiction,Very High,medium,Yes,False
Negative,DiverseReader,Fiction,Very High,long,Yes,False
Neutral,DiverseReader,"Body, Mind & Spirit",Very High,long,Yes,False
Neutral,DiverseReader,Fiction,Very High,medium,Yes,False
Positive,DiverseReader,Religion,Very High,short,Yes,False
Negative,DiverseReader,Humor,Very High,short,Yes,False
Negative,CasualReader,Brothers and sisters,Very High,medium,Yes,False
Negative,CasualReader,Brothers and sisters,Very High,medium,Yes,False
Neutral,CasualReader,Children's plays,High,medium,Yes,False
Neutral,CasualReader,Children's plays,High,medium,Yes,False
Negative,CasualReader,Fiction,Very High,short,Yes,False
Negative,CasualReader,Fiction,High,long,Yes,False
Negative,CasualReader,Fiction,Very High,medium,Yes,False
Negative,CasualReader,Fiction,Very High,medium,Yes,False
Neutral,CasualReader,Fiction,Very High,long,Yes,False
Neutral,CasualReader,Fiction,Very High,medium,Yes,False
Neutral,AuthorLoyal,Paris (France),Low,medium,Yes,False
Positive,AuthorLoyal,Amish,Very High,long,Yes,False
Neutral,AuthorLoyal,Paris (France),Low,medium,Yes,False
Neutral,AuthorLoyal,Paris (France),Low,medium,No,False
Positive,AuthorLoyal,Amish,Very High,long,Yes,False
Positive,AuthorLoyal,Fiction,Very High,medium,Yes,False
Positive,AuthorLoyal,History,Very High,medium,Yes,False
Neutral,AuthorLoyal,Nature,Very High,long,Yes,False
Neutral,AuthorLoyal,"Body, Mind & Spirit",Very High,long,Yes,False
Neutral,AuthorLoyal,Law,Medium,long,No,False
Neutral,AuthorLoyal,Philosophy,Very High,long,Yes,False
Negative,AuthorLoyal,Children of Holocaust survivors,Very High,medium,Yes,False
Negative,AuthorLoyal,Children of Holocaust survivors,Very High,medium,Yes,False
Neutral,AuthorLoyal,Fiction,Very High,long,Yes,False
Neutral,AuthorLoyal,Fiction,Very High,medium,Yes,False
Positive,AuthorLoyal,Religion,Very High,short,Yes,False
Neutral,AuthorLoyal,Fiction,Very High,long,Yes,False
Neutral,AuthorLoyal,Juvenile Fiction,Very High,medium,Yes,False
Negative,AuthorLoyal,Juvenile Fiction,Very High,short,Yes,False
Neutral,AuthorLoyal,Christmas stories,Medium,medium,Yes,False
Neutral,AuthorLoyal,Christian life,Very High,short,Yes,False
Neutral,AuthorLoyal,Christian life,Very High,short,Yes,False
Neutral,AuthorLoyal,Christian life,Very High,short,Yes,False
Neutral,AuthorLoyal,Christian life,Very High,short,Yes,False
Negative,AuthorLoyal,Christmas stories,Very High,medium,Yes,False
Neutral,AuthorLoyal,Christmas stories,Medium,medium,Yes,False
Positive,AuthorLoyal,Christian life,Medium,medium,No,False
Negative,AuthorLoyal,English fiction,Very High,medium,Yes,False
Neutral,AuthorLoyal,Religion,Very High,short,Yes,False
Neutral,AuthorLoyal,Fiction,Very High,medium,Yes,False
Negative,AuthorLoyal,Fiction,Very High,medium,Yes,False
Negative,AuthorLoyal,Fiction,Very High,long,Yes,False
Negative,AuthorLoyal,Fiction,Very High,medium,Yes,False
Positive,GenreFan,Clergy,Very High,long,Yes,False
Positive,GenreFan,Clergy,Very High,long,Yes,False
Neutral,GenreFan,Igbo (African people),High,short,No,False
Negative,GenreFan,Fiction,Very High,long,Yes,False
Neutral,GenreFan,Fiction,Very High,medium,Yes,False
Neutral,GenreFan,Travel,High,long,No,False
Neutral,GenreFan,Poetry,Very High,short,Yes,False
Neutral,GenreFan,Fiction,Very High,long,Yes,False
Negative,CasualReader,Boarding school-fiction,Very High,medium,Yes,False
Negative,CasualReader,Boarding school-fiction,Very High,medium,Yes,False
Neutral,CasualReader,Fiction,Very High,long,Yes,False
Neutral,CasualReader,Philosophy,Very High,long,Yes,False
Neutral,CasualReader,Fiction,Very High,medium,Yes,False
Neutral,CasualReader,Fiction,Very High,medium,Yes,False
Positive,CasualReader,Literary Collections,Very High,long,Yes,False
Neutral,CasualReader,Fiction,Very High,medium,Yes,False
Neutral,CasualReader,"Short stories, English",Very High,long,Yes,False
Negative,CasualReader,Gambling,Very High,medium,Yes,False
Negative,CasualReader,Gambling,Very High,medium,Yes,False
Neutral,CasualReader,"Short stories, English",Very High,long,Yes,False
Negative,CasualReader,Fiction,Very High,long,Yes,False
Neutral,CasualReader,Philosophy,Very High,medium,Yes,False
Neutral,CasualReader,Allegories,Very High,medium,Yes,False
Neutral,CasualReader,Philosophy,Very High,long,Yes,False
Negative,CasualReader,"Nanjing (Jiangsu Sheng, China)",High,medium,Yes,False
Neutral,CasualReader,Fiction,Very High,long,Yes,False
Positive,GenreFan,Arthurian romances,Very High,unknown,Yes,True
Positive,CasualReader,Fiction,Very High,long,No,True
Positive,GenreFan,"Hyland, Morn (Fictitious character)",Low,short,No,True
Negative,GenreFan,,Low,short,No,True
Positive,GenreFan,Fiction,Low,medium,No,True
Positive,GenreFan,Fiction,Low,medium,Yes,True
Negative,DiverseReader,Fiction,Medium,short,No,True
Positive,GenreFan,Fiction,Medium,short,No,True
Negative,GenreFan,"Hyland, Morn (Fictitious character)",Low,medium,No,True
Negative,GenreFan,"Africa, East",Very High,unknown,No,True
Neutral,CasualReader,Detective and mystery stories,Very High,medium,No,True
Positive,GenreFan,Fiction,High,long,No,True
Negative,DiverseReader,Adventure stories,Low,short,Yes,True
Neutral,DiverseReader,Christian life,Low,medium,Yes,True
Positive,GenreFan,Fiction,Medium,long,No,True
Positive,GenreFan,Christian life,Very High,short,Yes,True
Negative,DiverseReader,"Africa, East",Low,unknown,No,True
Neutral,GenreFan,Arthurian romances,Very High,medium,No,True
Positive,GenreFan,"Africa, East",Medium,long,Yes,True
Positive,GenreFan,"Hyland, Morn (Fictitious character)",Very High,long,Yes,True
Positive,AuthorLoyal,Fiction,Very High,long,No,True
Neutral,DiverseReader,Adventure stories,Medium,short,Yes,True
Neutral,CasualReader,Fiction,Low,long,No,True
Positive,DiverseReader,Detective and mystery stories,Very High,medium,No,True
Positive,CasualReader,,Low,unknown,Yes,True
Neutral,CasualReader,Arthurian romances,High,long,No,True
Neutral,AuthorLoyal,"Africa, East",Medium,short,Yes,True
Neutral,GenreFan,Adventure stories,High,short,Yes,True
Negative,DiverseReader,Detective and mystery stories,Very High,long,No,True
Positive,CasualReader,Fantasy fiction,High,medium,No,True
Positive,GenreFan,Christian life,Very High,short,Yes,True
Positive,DiverseReader,Detective and mystery stories,Low,medium,Yes,True
Negative,CasualReader,"Hyland, Morn (Fictitious character)",Medium,short,No,True
Neutral,GenreFan,Arthurian romances,High,medium,Yes,True
Neutral,CasualReader,Detective and mystery stories,Medium,medium,Yes,True
Neutral,GenreFan,Detective and mystery stories,Very High,medium,No,True
Positive,GenreFan,Adventure stories,Very High,long,No,True
Neutral,GenreFan,"Hyland, Morn (Fictitious character)",Very High,long,Yes,True
Neutral,GenreFan,"Africa, East",Very High,unknown,Yes,True
Positive,GenreFan,Fiction,Medium,long,Yes,True
Positive,GenreFan,Christian life,Very High,short,Yes,True
Neutral,AuthorLoyal,Detective and mystery stories,Very High,unknown,Yes,True
Neutral,AuthorLoyal,Fiction,High,unknown,Yes,True
Neutral,GenreFan,Fantasy fiction,High,medium,No,True
Negative,GenreFan,Fiction,Low,short,Yes,True
Neutral,GenreFan,Fiction,Medium,long,Yes,True
Neutral,DiverseReader,"Africa, East",Medium,medium,No,True
Neutral,AuthorLoyal,"Africa, East",Very High,long,Yes,True
Negative,GenreFan,Christian life,High,long,No,True
Negative,GenreFan,"Hyland, Morn (Fictitious character)",Very High,unknown,Yes,True
Positive,GenreFan,Fiction,Medium,short,Yes,True
Neutral,AuthorLoyal,Adventure stories,Very High,medium,No,True
Neutral,GenreFan,Fiction,Medium,long,No,True
Negative,DiverseReader,"Africa, East",High,unknown,No,True
Negative,CasualReader,"Hyland, Morn (Fictitious character)",Very High,short,Yes,True
Neutral,AuthorLoyal,"Africa, East",Very High,medium,No,True
Positive,GenreFan,Fiction,High,short,No,True
Negative,GenreFan,Christian life,Very High,medium,No,True
Positive,GenreFan,Christian life,Very High,unknown,Yes,True
Negative,AuthorLoyal,Detective and mystery stories,Low,medium,No,True
Negative,GenreFan,"Hyland, Morn (Fictitious character)",High,medium,No,True
Negative,CasualReader,Detective and mystery stories,Medium,unknown,No,True
Positive,DiverseReader,Christian life,Medium,medium,Yes,True
Positive,CasualReader,Arthurian romances,Low,medium,Yes,True
Positive,AuthorLoyal,"Africa, East",Very High,long,Yes,True
Positive,DiverseReader,Detective and mystery stories,Medium,medium,Yes,True
Neutral,GenreFan,Fiction,High,short,No,True
Neutral,CasualReader,Adventure stories,Medium,short,Yes,True
Positive,DiverseReader,Christian life,High,short,No,True
Positive,DiverseReader,Detective and mystery stories,Medium,short,Yes,True
Positive,CasualReader,Fiction,High,unknown,Yes,True
Positive,GenreFan,Fiction,Very High,medium,Yes,True
Neutral,DiverseReader,Christian life,Very High,long,No,True
Neutral,AuthorLoyal,"Africa, East",Very High,long,No,True
Neutral,CasualReader,"Africa, East",Very High,short,Yes,True
Positive,DiverseReader,English drama,Medium,short,Yes,True
Positive,GenreFan,,Medium,unknown,No,True
Positive,AuthorLoyal,Detective and mystery stories,Low,long,Yes,True
Neutral,DiverseReader,"Africa, East",Very High,long,Yes,True
Neutral,DiverseReader,Detective and mystery stories,Medium,medium,Yes,True
Positive,GenreFan,Detective and mystery stories,Medium,short,No,True
Negative,AuthorLoyal,Christian life,Very High,medium,No,True
Neutral,CasualReader,Arthurian romances,High,medium,Yes,True
Positive,AuthorLoyal,Detective and mystery stories,Low,long,Yes,True
Neutral,GenreFan,Fiction,Low,short,No,True
Negative,CasualReader,Christian life,Very High,medium,No,True
Positive,GenreFan,Detective and mystery stories,Medium,short,Yes,True
Negative,GenreFan,Christian life,High,short,Yes,True
Positive,DiverseReader,"Africa, East",Medium,long,Yes,True
Negative,GenreFan,Christian life,Very High,short,No,True
Negative,GenreFan,"Hyland, Morn (Fictitious character)",Very High,unknown,No,True
Positive,GenreFan,Arthurian romances,Very High,short,Yes,True
Neutral,GenreFan,Fiction,Very High,medium,Yes,True
Negative,GenreFan,Arthurian romances,Very High,long,Yes,True
Neutral,CasualReader,Arthurian romances,High,short,Yes,True
Neutral,AuthorLoyal,Christian life,High,long,No,True
Negative,AuthorLoyal,Fiction,High,short,No,True
Negative,CasualReader,Arthurian romances,Low,short,No,True
Positive,GenreFan,Arthurian romances,Medium,unknown,Yes,True
Positive,DiverseReader,"Hyland, Morn (Fictitious character)",Low,long,No,True
Positive,GenreFan,Detective and mystery stories,Medium,unknown,No,True
Positive,AuthorLoyal,Detective and mystery stories,Very High,medium,Yes,True
Positive,AuthorLoyal,Christian life,High,short,Yes,True
Negative,GenreFan,Fiction,Very High,medium,No,True
Positive,CasualReader,Fantasy fiction,Medium,short,Yes,True
Neutral,GenreFan,Fiction,Very High,long,Yes,True
Positive,CasualReader,Fiction,Low,medium,Yes,True
Positive,GenreFan,Fiction,Very High,short,Yes,True
Positive,GenreFan,Fiction,Medium,medium,No,True
Neutral,CasualReader,Adventure stories,Very High,long,No,True
Neutral,CasualReader,Detective and mystery stories,Medium,medium,Yes,True
Neutral,GenreFan,Detective and mystery stories,High,long,Yes,True
Neutral,GenreFan,Fiction,High,short,No,True
Neutral,DiverseReader,Detective and mystery stories,Very High,medium,Yes,True
Neutral,DiverseReader,Adventure stories,High,medium,No,True
Neutral,DiverseReader,"Africa, East",Very High,medium,No,True
Neutral,GenreFan,"Africa, East",Very High,medium,Yes,True
Neutral,DiverseReader,Fiction,Very High,short,Yes,True
Positive,AuthorLoyal,Detective and mystery stories,Very High,long,Yes,True
Positive,DiverseReader,Arthurian romances,High,long,Yes,True
Neutral,DiverseReader,Fiction,Medium,long,Yes,True
Negative,GenreFan,Arthurian romances,High,short,No,True
Neutral,GenreFan,Arthurian romances,High,short,No,True
Neutral,AuthorLoyal,"Africa, East",Medium,long,No,True
Positive,DiverseReader,Arthurian romances,High,long,Yes,True
Positive,AuthorLoyal,Arthurian romances,Very High,long,No,True
Neutral,GenreFan,"Hyland, Morn (Fictitious character)",Very High,long,No,True
Positive,DiverseReader,"Africa, East",High,medium,Yes,True
Neutral,GenreFan,Detective and mystery stories,Very High,short,Yes,True
Neutral,GenreFan,Fiction,Very High,medium,No,True
Positive,CasualReader,"Africa, East",High,short,Yes,True
Neutral,DiverseReader,Detective and mystery stories,Medium,medium,No,True
Positive,GenreFan,Fiction,Very High,short,Yes,True
Negative,DiverseReader,Adventure stories,Medium,unknown,No,True
Positive,AuthorLoyal,Detective and mystery stories,Very High,medium,Yes,True
Negative,DiverseReader,Fiction,Medium,medium,No,True
Neutral,DiverseReader,Fantasy fiction,Medium,medium,Yes,True
Positive,AuthorLoyal,"Africa, East",Very High,long,Yes,True
Neutral,CasualReader,Fiction,Medium,short,Yes,True
Neutral,AuthorLoyal,Detective and mystery stories,Very High,medium,Yes,True
Negative,GenreFan,"Hyland, Morn (Fictitious character)",High,long,No,True
Negative,GenreFan,Christian life,High,long,Yes,True
Neutral,CasualReader,Arthurian romances,Low,short,No,True
Negative,CasualReader,Detective and mystery stories,Medium,short,No,True
Neutral,DiverseReader,Arthurian romances,Medium,long,Yes,True
Neutral,CasualReader,Fantasy fiction,High,medium,Yes,True
Neutral,CasualReader,"Africa, East",High,short,Yes,True
Neutral,GenreFan,Fiction,Very High,short,Yes,True
Neutral,DiverseReader,"Africa, East",Medium,short,Yes,True
Positive,GenreFan,Detective and mystery stories,Very High,short,Yes,True
Positive,GenreFan,Fiction,Very High,medium,Yes,True
Neutral,CasualReader,Fiction,Medium,long,Yes,True
Positive,GenreFan,Christian life,Very High,medium,No,True
Neutral,DiverseReader,Fiction,Low,short,Yes,True
Neutral,DiverseReader,Fiction,Medium,long,No,True
Neutral,CasualReader,Adventure stories,Medium,short,Yes,True
Positive,DiverseReader,Detective and mystery stories,High,unknown,Yes,True
Neutral,GenreFan,"Africa, East",Very High,medium,Yes,True
Neutral,DiverseReader,Christian life,Medium,medium,Yes,True
Neutral,DiverseReader,"Hyland, Morn (Fictitious character)",Medium,medium,Yes,True
Positive,DiverseReader,"Hyland, Morn (Fictitious character)",Medium,unknown,No,True
Positive,AuthorLoyal,Fantasy fiction,High,medium,Yes,True
Neutral,GenreFan,Christian life,High,long,No,True
Positive,AuthorLoyal,Detective and mystery stories,Very High,long,No,True
Positive,GenreFan,Detective and mystery stories,Very High,unknown,Yes,True
Positive,GenreFan,"Hyland, Morn (Fictitious character)",High,short,No,True
Negative,GenreFan,Detective and mystery stories,High,short,No,True
Positive,DiverseReader,Detective and mystery stories,Medium,long,No,True
Neutral,CasualReader,"Hyland, Morn (Fictitious character)",Low,medium,No,True
Neutral,GenreFan,Detective and mystery stories,High,long,Yes,True
Positive,DiverseReader,English drama,Medium,unknown,No,True
Positive,GenreFan,Fiction,Very High,short,Yes,True
Negative,CasualReader,Detective and mystery stories,Very High,long,No,True
Positive,DiverseReader,"Africa, East",High,short,Yes,True
Positive,AuthorLoyal,"Hyland, Morn (Fictitious character)",Medium,short,No,True
Negative,GenreFan,"Africa, East",Very High,short,Yes,True
Neutral,CasualReader,Arthurian romances,Very High,unknown,No,True
Neutral,AuthorLoyal,Detective and mystery stories,Very High,long,Yes,True
Neutral,GenreFan,"Hyland, Morn (Fictitious character)",Very High,long,Yes,True
Positive,GenreFan,Detective and mystery stories,Low,unknown,Yes,True
Positive,GenreFan,Fiction,High,long,Yes,True
Positive,CasualReader,"Africa, East",Medium,medium,No,True
Positive,GenreFan,Adventure stories,High,short,Yes,True
Neutral,DiverseReader,Fiction,High,medium,Yes,True
Neutral,CasualReader,Arthurian romances,Low,short,Yes,True
Neutral,GenreFan,"Hyland, Morn (Fictitious character)",High,medium,No,True
Positive,DiverseReader,Detective and mystery stories,High,long,Yes,True
Negative,GenreFan,"Hyland, Morn (Fictitious character)",Medium,unknown,No,True
Positive,GenreFan,Detective and mystery stories,High,long,Yes,True
Positive,AuthorLoyal,Detective and mystery stories,High,long,Yes,True
Neutral,GenreFan,,Very High,long,No,True
Positive,CasualReader,Arthurian romances,High,short,Yes,True
Positive,AuthorLoyal,Arthurian romances,High,unknown,Yes,True
Positive,AuthorLoyal,Detective and mystery stories,Medium,long,Yes,True
Positive,GenreFan,Christian life,High,medium,No,True
Positive,GenreFan,Fiction,High,unknown,Yes,True
Neutral,GenreFan,Christian life,Medium,long,No,True
Positive,GenreFan,Fiction,High,medium,Yes,True
Negative,DiverseReader,Fiction,Medium,medium,Yes,True
Neutral,GenreFan,Christian life,Very High,unknown,Yes,True
Negative,CasualReader,"Africa, East",Low,long,No,True
Positive,AuthorLoyal,"Hyland, Morn (Fictitious character)",Very High,long,No,True
Positive,GenreFan,English drama,High,medium,Yes,True
Positive,CasualReader,Arthurian romances,Low,short,Yes,True
Negative,AuthorLoyal,"Hyland, Morn (Fictitious character)",High,long,No,True
Neutral,GenreFan,"Hyland, Morn (Fictitious character)",Medium,medium,Yes,True
Positive,GenreFan,Detective and mystery stories,Very High,long,Yes,True
Negative,GenreFan,Detective and mystery stories,Medium,medium,Yes,True
Positive,DiverseReader,Fantasy fiction,Very High,medium,Yes,True
Neutral,AuthorLoyal,Christian life,Medium,medium,Yes,True
Neutral,AuthorLoyal,Detective and mystery stories,High,long,Yes,True
Neutral,GenreFan,Arthurian romances,High,unknown,No,True
Positive,GenreFan,Arthurian romances,Very High,medium,Yes,True
Negative,AuthorLoyal,Christian life,Medium,short,No,True
Negative,GenreFan,Christian life,Very High,short,No,True
Neutral,AuthorLoyal,Fiction,Low,medium,No,True
Positive,GenreFan,,Low,unknown,Yes,True
Neutral,DiverseReader,Detective and mystery stories,High,long,No,True
Negative,AuthorLoyal,Fiction,Very High,long,No,True
Positive,GenreFan,Fiction,Medium,long,No,True
Neutral,CasualReader,"Africa, East",Low,medium,Yes,True
Neutral,CasualReader,Detective and mystery stories,Low,unknown,No,True
Neutral,GenreFan,Christian life,Very High,medium,Yes,True
Neutral,GenreFan,"Hyland, Morn (Fictitious character)",Very High,short,Yes,True
Positive,DiverseReader,Fantasy fiction,Medium,long,Yes,True
Positive,GenreFan,Fiction,High,medium,Yes,True
Neutral,GenreFan,Christian life,Very High,long,Yes,True
Positive,CasualReader,Detective and mystery stories,Low,short,Yes,True
Neutral,GenreFan,Fiction,High,long,Yes,True
Neutral,GenreFan,Fiction,Medium,medium,Yes,True
Negative,CasualReader,"Hyland, Morn (Fictitious character)",High,medium,No,True
